study.spectra,nm,Absorption
Hennige_green,680.207,0.332439678
Hennige_green,681.3139,0.302949062
Hennige_green,682.2362,0.278820375
Hennige_green,683.342,0.255538874
Hennige_green,684.2662,0.222533512
Hennige_green,685.3734,0.192168901
Hennige_green,686.2946,0.173683646
Hennige_green,687.2156,0.156520107
Hennige_green,688.3219,0.130115282
Hennige_green,689.2429,0.112949062
Hennige_green,690.3465,0.099745308
Hennige_green,691.2661,0.089182306
Hennige_green,692.3695,0.077297587
Hennige_green,693.2885,0.069372654
Hennige_green,694.207,0.064088472
Hennige_green,695.3085,0.061442359
Hennige_green,696.2267,0.057479893
Hennige_green,697.3285,0.053514745
Hennige_green,698.2467,0.049549598
Hennige_green,699.3482,0.046906166
Hennige_green,700.2661,0.044262735
Hennige_green,701.3676,0.041616622
Hennige_green,702.2856,0.03897319
Hennige_green,703.2033,0.037648794
Hennige_green,704.305,0.033683646
Hennige_green,705.2227,0.03236193
Hennige_green,706.3239,0.031034853
Hennige_green,707.2416,0.029713137
Hennige_green,708.3431,0.027067024
Hennige_green,709.2612,0.023103485
